key_development_areas,text,business_area_id,scenario,related_skill,question_id,key_dev_areas_str
"['Health and Safety Management', 'Security Management']","How confident are you in ensuring the security of cleaning equipment and materials, and the premises?",md07wz9kaKeIbOPOvpUB,You need to secure cleaning equipment and materials after your shift.,"ensure_the_security_of_cleaning_equipment_and_materials,_and_premises",JCeCAhzAkjJuhei8o1g7,Health and Safety Management Security Management
"['Health and Safety Management', 'Regulatory Compliance']",How would you rate your ability to identify and report risks and hazards?,md07wz9kaKeIbOPOvpUB,You notice a potential hazard in the workplace.,identify_risks_hazards,JQWD3y9nEUGzo22g9gXV,Health and Safety Management Regulatory Compliance
"['Financial Management', 'Project Management']",How would you rate your ability to manage resources effectively to handle unexpected expenses?,md07wz9kaKeIbOPOvpUB,An unexpected expense requires reallocation of resources.,use_resources,L0PKMaMF1HbIim5Wn1V6,Financial Management Project Management
"['Quality Management', 'Project Management']",How confident are you in carrying out and recording different types of cleaning methods accurately?,md07wz9kaKeIbOPOvpUB,You need to document the various cleaning methods used for a specific project.,carry_out_and_record_different_types_of_cleaning_methods,Liu1B9vaGfjEpMYaLBWz,Quality Management Project Management
"['Project Management', 'Technology and Innovation']",How confident are you in using supplied data to plan and prioritise your cleaning tasks effectively?,md07wz9kaKeIbOPOvpUB,You are given data to plan a new cleaning schedule for a large office building.,use_supplied_data_to_plan_cleaning_tasks,LumVZYuEndv9QKyWGcvC,Project Management Technology and Innovation
"['Financial Management', 'Project Management']",How confident are you in applying financial management principles to create a budget plan?,md07wz9kaKeIbOPOvpUB,You need to develop a budget plan for a new facilities project.,financial_management,MQBRHnIXYN8me8t4UXJA,Financial Management Project Management
"['Maintenance and Operations', 'Quality Management']",How would you rate your ability to operate the stock management system effectively?,md07wz9kaKeIbOPOvpUB,You are responsible for checking and replenishing stock levels.,operate_stock_management,MkjhmrEIpXeNL1UhBiBD,Maintenance and Operations Quality Management
"['Problem-solving and Critical Thinking', 'Leadership and Team Management']",How confident are you in applying problem-solving techniques to resolve complex issues?,md07wz9kaKeIbOPOvpUB,A complex facilities issue arises that needs immediate resolution.,problem_solving,NVCKrvAK2VQkBg3wSag9,Problem-solving and Critical Thinking Leadership and Team Management
"['Maintenance and Operations', 'Health and Safety Management']",How confident are you in supervising the safe and effective use of new tools and equipment?,md07wz9kaKeIbOPOvpUB,A team member is using new electrical equipment for the first time.,supervise_fm_tools,NcdXSndrpIZO8DytLf0g,Maintenance and Operations Health and Safety Management
"['Customer Service and Communication', 'Quality Management']",How would you rate your ability to greet and treat visitors professionally and according to SOPs?,md07wz9kaKeIbOPOvpUB,You are greeting visitors for a company event.,greet_visitors,NngwS7v4Wsc8NGSP8ohU,Customer Service and Communication Quality Management
"['Health and Safety Management', 'Quality Management']",How confident are you in using PPE correctly and complying with the organisational uniform policy to maintain required hygiene levels?,md07wz9kaKeIbOPOvpUB,You need to wear full PPE for a high-risk cleaning task in a healthcare setting.,use_PPE_and_comply_with_the_organisational_uniform_policy,NoiOt4maSD56nEMO79iv,Health and Safety Management Quality Management
"['Customer Service and Communication', 'Leadership and Team Management']",How would you rate your ability to collaborate with colleagues to achieve shared goals?,md07wz9kaKeIbOPOvpUB,You are working with the cleaning team to ensure the communal areas are maintained.,collaborate_with_colleagues,OOLt9iWrkyQpbVSEG0vY,Customer Service and Communication Leadership and Team Management
"['Customer Service and Communication', 'Stakeholder Engagement']",How would you rate your ability to investigate stakeholder queries and propose solutions?,md07wz9kaKeIbOPOvpUB,A stakeholder raises a concern about a facilities process.,investigate_queries,OgwXzmxdLTZIocrzI5NA,Customer Service and Communication Stakeholder Engagement
"['Quality Management', 'Building Management Systems (BMS)']",How confident are you in reporting issues and problems according to SOPs?,md07wz9kaKeIbOPOvpUB,You identify a problem with the facility's air conditioning system.,report_issues,PDvjFPYoux8oPbH4UREi,Quality Management Building Management Systems (BMS)
"['Technology and Innovation', 'Environmental and Sustainability Management']",How confident are you in identifying and reporting on opportunities for improvement?,md07wz9kaKeIbOPOvpUB,You have identified an opportunity to improve the facility's lighting system.,report_improvement_opportunities,PnSaCm2P77dE2A4O7nf6,Technology and Innovation Environmental and Sustainability Management
"['Problem-solving and Critical Thinking', 'Quality Management']",How confident are you in documenting and communicating your findings and solutions effectively?,md07wz9kaKeIbOPOvpUB,You need to document your findings and recommendations after investigating a complex query.,investigate_queries,PqjEKNny6PbcVCcu9Qqa,Problem-solving and Critical Thinking Quality Management
"['Maintenance and Operations', 'Quality Management']",How would you rate your ability to supervise the maintenance and operation of plant machinery?,md07wz9kaKeIbOPOvpUB,You need to ensure proper maintenance of plant machinery.,supervise_fm_tools,R2DWRkgVO6DgXoSmtVY8,Maintenance and Operations Quality Management
"['Health and Safety Management', 'Quality Management']",How confident are you in accurately reporting health and safety check findings?,md07wz9kaKeIbOPOvpUB,You have completed a health and safety check and need to report your findings.,report_hs_findings,ShHcYxPebNkNTMnOzxuC,Health and Safety Management Quality Management
"['Quality Management', 'Customer Service and Communication']",How confident are you in carrying out quality assurance checks to ensure FM services meet standards?,md07wz9kaKeIbOPOvpUB,You are conducting a quality assurance check on the cleaning services.,quality_assurance_checks,SyEkMD6mmpvWjHg4O64P,Quality Management Customer Service and Communication
"['Regulatory Compliance', 'Professionalism']",How confident are you in complying with data protection legislation while carrying out your tasks?,md07wz9kaKeIbOPOvpUB,You handle sensitive information while performing your duties.,comply_with_data_protection_legislation,ThHSfcR65ErA9APv41yN,Regulatory Compliance Professionalism
"['Health and Safety Management', 'Customer Service and Communication']",How confident are you in effectively communicating and ensuring adherence to organisational policies?,md07wz9kaKeIbOPOvpUB,You are training your team on new organisational policies.,comply_hs_regulations,U3xn97NsMzvKbDv28LmV,Health and Safety Management Customer Service and Communication
"['Leadership and Team Management', 'Project Management']",How confident are you in leading your team to successfully complete a challenging project?,md07wz9kaKeIbOPOvpUB,You are leading a team through a challenging project,leading_team,UeXHp3iJVFKJdoknZqu3,Leadership and Team Management Project Management
"['Leadership and Team Management', 'Customer Service and Communication']",How confident are you in using the correct procedures to obtain support when needed?,md07wz9kaKeIbOPOvpUB,You encounter a situation that requires additional support from your team.,use_procedures_for_obtaining_support,UulERkb8QH9u7SIhciSU,Leadership and Team Management Customer Service and Communication
"['Health and Safety Management', 'Quality Management']",How confident are you in applying colour coding correctly to conduct cleaning safely and effectively?,md07wz9kaKeIbOPOvpUB,You need to clean multiple areas with different risk levels.,colour_coding_correctly_to_conduct_cleaning_safely_and_effectively,V7R716rWyA4qiY6otfOK,Health and Safety Management Quality Management
"['Leadership and Team Management', 'Quality Management']",How would you rate your ability to prioritise and balance high-priority tasks with daily operations?,md07wz9kaKeIbOPOvpUB,A high-priority task needs to be completed alongside regular duties.,plan_prioritise_delegate,Vj6SR5u3jzodIeET2B9m,Leadership and Team Management Quality Management
"['Problem-solving and Critical Thinking', 'Customer Service and Communication']",How would you rate your ability to identify when to escalate issues to line management?,md07wz9kaKeIbOPOvpUB,You need to consult with line management about a persistent problem.,problem_solving,WHtjoiTjKjp3t4R2RmQ0,Problem-solving and Critical Thinking Customer Service and Communication
"['Quality Management', 'Problem-solving and Critical Thinking']",How would you rate your ability to develop and implement solutions based on audit findings?,md07wz9kaKeIbOPOvpUB,A recent audit revealed areas for improvement in your department.,continuous_improvement,WY1Lade2XbFpyOFTZFm3,Quality Management Problem-solving and Critical Thinking
"['Customer Service and Communication', 'Quality Management']",How would you rate your ability to manage and align customer expectations with organisational capabilities?,md07wz9kaKeIbOPOvpUB,A customer expects a service to be completed sooner than possible.,manage_customer_expectations,WuU5TgSUngK0fyGXko1G,Customer Service and Communication Quality Management
"['Health and Safety Management', 'Quality Management']",How confident are you in conducting cleaning tasks to the appropriate hygiene standard to ensure infection prevention and control?,md07wz9kaKeIbOPOvpUB,You are responsible for cleaning an operating room to prevent infections.,conduct_cleaning_tasks_to_the_appropriate_hygiene_standard,XIxzvZpUNx4BvhDGXqFb,Health and Safety Management Quality Management
"['Maintenance and Operations', 'Quality Management']",How confident are you in cleaning and maintaining cleaning equipment and machinery after use?,md07wz9kaKeIbOPOvpUB,"After completing your cleaning tasks, you need to clean and maintain the equipment.",clean_cleaning_equipment_and_machinery_after_use,YENdb2XLsyXidPk3Kr9u,Maintenance and Operations Quality Management
"['Project Management', 'Quality Management']", How confident are you in supervising the implementation of new processes to improve efficiency?,md07wz9kaKeIbOPOvpUB,You are implementing a new facilities management process.,supervise_facilities_management,YPb2FbU3jVGmXM4uwpsc,Project Management Quality Management
"['Environmental and Sustainability Management', 'Regulatory Compliance']",How confident are you in dealing with routine and non-routine waste in line with organisation policies and environmental disposal legislation?,md07wz9kaKeIbOPOvpUB,You encounter both routine and hasardous waste during your shift.,deal_with_routine_and_non_routine_waste,ZWw9xRwzy8U3noYX33SE,Environmental and Sustainability Management Regulatory Compliance
"['Technology and Innovation', 'Quality Management']",How confident are you in using digital technology to monitor and analyse team performance?,md07wz9kaKeIbOPOvpUB,You need to track the performance of your facilities management team using digital tools.,use_digital_tech,a96dsa7Eqrfm0WdLBuHR,Technology and Innovation Quality Management
"['Problem-solving and Critical Thinking', 'Quality Management']",How confident are you in investigating and identifying the root cause of recurring issues?,md07wz9kaKeIbOPOvpUB,A recurring issue in the facilities operations needs investigation.,investigate_queries,aEyQmUjiPvnvGpHqePC1,Problem-solving and Critical Thinking Quality Management
"['Security Management', 'Customer Service and Communication']",How would you rate your ability to support the access management system effectively?,md07wz9kaKeIbOPOvpUB,You are responsible for managing ID checks and key authorisation.,support_access_management,b4HX4O611444O29zOllH,Security Management Customer Service and Communication
"['Maintenance and Operations', 'Quality Management']","How confident are you in delivering housekeeping services, maintaining a clean storage environment, and managing stock control and rotation?",md07wz9kaKeIbOPOvpUB,You are managing the housekeeping services for a small hotel.,deliver_housekeeping_services,b9Kv2FU6S0DRu6DGib2b,Maintenance and Operations Quality Management
"['Financial Management', 'Quality Management']","How confident are you in using resources efficiently while considering cost, quality, and safety?",md07wz9kaKeIbOPOvpUB,You need to allocate resources for a major maintenance project.,use_resources,cGHiObbv8XCLdrNqZWql,Financial Management Quality Management
"['Leadership and Team Management', 'Maintenance and Operations']",How confident are you in supervising the facilities management function to ensure smooth operations?,md07wz9kaKeIbOPOvpUB,You need to oversee the daily operations of the facilities management team.,supervise_facilities_management,ccl7QKKbNPebTGhlLBYp,Leadership and Team Management Maintenance and Operations
"['Vendor and Contract Management', 'Customer Service and Communication']",How confident are you in creating and maintaining effective working relationships with external vendors?,md07wz9kaKeIbOPOvpUB,You are working with an external vendor on a facilities upgrade.,collaborative_relationships,ehxunLhDDr4Mop8GH6kc,Vendor and Contract Management Customer Service and Communication
"['Maintenance and Operations', 'Customer Service and Communication']",How would you rate your ability to log jobs and arrange for repairs effectively?,md07wz9kaKeIbOPOvpUB,You need to arrange for the repair of a broken elevator.,log_jobs_arrange_repairs,fJ3YrgU7DN10HR86do8x,Maintenance and Operations Customer Service and Communication
"['Financial Management', 'Sustainability Reporting and Communication']",How confident are you in preparing and presenting accurate budget reports?,md07wz9kaKeIbOPOvpUB,You need to report on budget spending to senior management.,financial_management,fzao2z1QIHkjqSXAnmme,Financial Management Sustainability Reporting and Communication
"['Maintenance and Operations', 'Technology and Innovation']",How confident are you in preparing cleaning materials and machinery and ensuring all electrical equipment complies with PAT testing requirements?,md07wz9kaKeIbOPOvpUB,"Before starting your cleaning tasks, you need to prepare cleaning materials and machinery.",prepare_cleaning_materials_and_machinery,gGpSNyJfVWfTQuJvfFB5,Maintenance and Operations Technology and Innovation
"['Project Management', 'Leadership and Team Management']","How confident are you in planning, prioritising, and delegating tasks to your team?",md07wz9kaKeIbOPOvpUB,You need to delegate tasks for an upcoming facilities project.,plan_prioritise_delegate,gHwxXp9feLFcvlInkjGE,Project Management Leadership and Team Management
"['Health and Safety Management', 'Regulatory Compliance']",How confident are you in using and disposing of chemicals following COSHH regulations and applying safety data sheets and dilution rates correctly?,md07wz9kaKeIbOPOvpUB,You are handling and disposing of chemicals for a cleaning task.,use_and_dispose_of_chemicals_following_COSHH_regulations,gQDQPsHY1YTKCS4KIlhg,Health and Safety Management Regulatory Compliance
"['Quality Management', 'Technology and Innovation']",How would you rate your ability to keep asset registers up-to-date?,md07wz9kaKeIbOPOvpUB,You need to update the asset register after a recent equipment purchase.,update_asset_registers,hMOflnN2OJbOA1nQSxfy,Quality Management Technology and Innovation
"['Customer Service and Communication', 'Leadership and Team Management']",How would you rate your ability to deal with feedback or escalate issues appropriately?,md07wz9kaKeIbOPOvpUB,You receive feedback from a customer that requires escalation.,deal_with_feedback,ibjQn9wpxKsZX6a2ICGT,Customer Service and Communication Leadership and Team Management
"['Customer Service and Communication', 'Leadership and Team Management']",How confident are you in communicating clearly and confidently with customers?,md07wz9kaKeIbOPOvpUB,You need to inform a customer about a delay in service.,communicate_with_customers,ie33WL8ckO7MTISLUmXP,Customer Service and Communication Leadership and Team Management
"['Environmental and Sustainability Management', 'Quality Management']",How confident are you in making practicable suggestions for improving CSR performance?,md07wz9kaKeIbOPOvpUB,You are suggesting improvements to the facility's waste management practices.,suggest_improvements_csr,ifyx4ZXWt1rv9gzy0sEL,Environmental and Sustainability Management Quality Management
"['Customer Service and Communication', 'Quality Management']",How confident are you in recognising and responding to rapid response clean requests effectively?,md07wz9kaKeIbOPOvpUB,You receive a rapid response clean request for a spill in a public area.,recognise_and_respond_to_rapid_response_clean_requests,j41S73upnB4Zm78MFedG,Customer Service and Communication Quality Management
"['Customer Service and Communication', 'Leadership and Team Management']",How confident are you in recognising and overcoming communication barriers within your team?,md07wz9kaKeIbOPOvpUB,You encounter communication barriers with a team member.,communicate_verbally,j9LmQfgCY8pnN3Q0jxwa,Customer Service and Communication Leadership and Team Management
"['Environmental and Sustainability Management', 'Building Management Systems (BMS)']",How confident are you in implementing sustainable processes to reduce energy consumption?,md07wz9kaKeIbOPOvpUB,You are tasked with reducing the energy consumption of your facilities.,apply_sustainable_practices,jOUGWWpGbivVffE4IGSj,Environmental and Sustainability Management Building Management Systems (BMS)
"['Customer Service and Communication', 'Sustainability Reporting and Communication']",How confident are you in using sector-specific terminology to communicate effectively in written reports?,md07wz9kaKeIbOPOvpUB,You need to draft a detailed report for an external stakeholder.,communicate_written,jWbbZCbPvQfKAnTZOhkf,Customer Service and Communication Sustainability Reporting and Communication
"['Building Management Systems (BMS)', 'Maintenance and Operations']",How would you rate your ability to supervise the resolution of technical issues within the facilities management function?,md07wz9kaKeIbOPOvpUB,A team member reports an issue with the HVAC system.,supervise_facilities_management,jyTN8qCsD3FQCm5ok2xQ,Building Management Systems (BMS) Maintenance and Operations
"['Environmental and Sustainability Management', 'Technology and Innovation']",How would you rate your ability to collate FM and health and safety information effectively?,md07wz9kaKeIbOPOvpUB,You are preparing a report on the facility's energy usage.,collate_fm_hs_information,keggQRS4j6ah5DzpxBYH,Environmental and Sustainability Management Technology and Innovation
"['Health and Safety Management', 'Quality Management']",How confident are you in conducting tasks according to documented safe ways of working to ensure safety for yourself and others?,md07wz9kaKeIbOPOvpUB, You are required to clean a high-traffic area following strict safety guidelines.,conduct_tasks_according_to_documented_safe_ways_of_working,kx8pssD0auVDgoUGW980,Health and Safety Management Quality Management
"['Health and Safety Management', 'Quality Management']",How confident are you in identifying and using the correct methods for removing contaminating materials?,md07wz9kaKeIbOPOvpUB,You encounter contaminating materials that require safe removal.,use_correct_methods_for_removal_of_contaminating_material,lDoLn1nR65pIsEDlKLhk,Health and Safety Management Quality Management
"['Regulatory Compliance', 'Reflective Practice and Continuous Improvement']",How confident are you in keeping your FM-related knowledge current?,md07wz9kaKeIbOPOvpUB,You need to stay informed about the latest health and safety regulations.,update_fm_knowledge,lIjmDyrxRjrnqD7tfuA1,Regulatory Compliance Reflective Practice and Continuous Improvement
"['Building Management Systems (BMS)', 'Quality Management']",How confident are you in carrying out inspections to ensure correct functioning of buildings and equipment?,md07wz9kaKeIbOPOvpUB,You are conducting an inspection of the facility's access systems.,inspect_premises_facilities,mpNyAtPukhZQ9zq9pjWI,Building Management Systems (BMS) Quality Management
"['Environmental and Sustainability Management', 'Quality Management']",How would you rate your ability to identify areas for improvement in sustainability performance?,md07wz9kaKeIbOPOvpUB,You have identified a way to reduce energy consumption in the facility.,identify_improvement_areas,oO3ARl8zKXb0pNRZ1NXu,Environmental and Sustainability Management Quality Management
"['Reflective Practice and Continuous Improvement', 'Leadership and Team Management']",How confident are you in completing and maintaining up-to-date personal development plans?,md07wz9kaKeIbOPOvpUB,You are updating your personal development plan with new training goals.,personal_development_plans,oW3XvYf82fPN1t9pA4nT,Reflective Practice and Continuous Improvement Leadership and Team Management
"['Leadership and Team Management', 'Project Management']",How confident are you in monitoring and ensuring the timely completion of delegated tasks?,md07wz9kaKeIbOPOvpUB,You need to ensure all delegated tasks are completed on time and to standard.,plan_prioritise_delegate,pAcJaj35MqRk0ZB0A5A9,Leadership and Team Management Project Management
"['Leadership and Team Management', 'Quality Management']",How would you rate your ability to address underperformance and boost team morale,md07wz9kaKeIbOPOvpUB,A team member is underperforming and affecting team morale.,leading_team,pM6rq5UPPi1ZK9bfN654,Leadership and Team Management Quality Management
"['Environmental and Sustainability Management', 'Quality Management']",How confident are you in applying sustainable practices when carrying out your duties?,md07wz9kaKeIbOPOvpUB,You are tasked with implementing sustainable practices in your cleaning routine.,apply_sustainable_practices_when_carrying_out_duties,qHY7exyd7MQZ3SN5mxSX,Environmental and Sustainability Management Quality Management
"['Health and Safety Management', 'Regulatory Compliance']",How confident are you in complying with health and safety legislation when logging incidents?,md07wz9kaKeIbOPOvpUB,You need to log a recent health and safety incident in the system.,comply_hse_legislation,rHJCYLjvtVzgWi5nE5Ez,Health and Safety Management Regulatory Compliance
"['Customer Service and Communication', 'Quality Management']",How confident are you in dealing with complaints according to SOPs?,md07wz9kaKeIbOPOvpUB,A customer has lodged a complaint about the cleanliness of the facility.,deal_with_complaints,rU64pFmWjRDZR7NYULw9,Customer Service and Communication Quality Management
"['Health and Safety Management', 'Maintenance and Operations']",How confident are you in supervising the proper and safe use of manual tools to prevent incidents?,md07wz9kaKeIbOPOvpUB,An incident involving manual tools was reported.,supervise_fm_tools,sjTd7Xg3ehh2BygcgFJV,Health and Safety Management Maintenance and Operations
"['Maintenance and Operations', 'Regulatory Compliance']",How confident are you in recognising the signs of infestation and reporting and monitoring the problem according to local procedures?,md07wz9kaKeIbOPOvpUB,You notice signs of a pest infestation in a facility.,recognise_the_signs_of_infestation_and_report_and_monitor_the_problem,tDtJQkHgMdGy1SykOGJ0,Maintenance and Operations Regulatory Compliance
"['Quality Management', 'Regulatory Compliance']",How confident are you in using visual checks and objective auditing techniques to ensure that cleaning has been completed to contractual standards?,md07wz9kaKeIbOPOvpUB,You are performing a final inspection to ensure cleaning standards are met.,use_visual_checks_and_objective_auditing_techniques,tEFhWdW60JCQyEDmu7GO,Quality Management Regulatory Compliance
"['Building Management Systems (BMS)', 'Quality Management']",How confident are you in reporting the correct operation of FM buildings and equipment?,md07wz9kaKeIbOPOvpUB,You need to report on the operational status of the facility's heating system.,report_correct_operation,tnhLRTHbXWBQK8MU2umH,Building Management Systems (BMS) Quality Management
"['Health and Safety Management', 'Quality Management']",How confident are you in identifying potential sources of infection and putting appropriate controls in place?,md07wz9kaKeIbOPOvpUB,You identify potential sources of infection in a healthcare environment.,identify_potential_sources_of_infection_and_put_controls_in_place,ucnVlWohykAJhMNNRSW7,Health and Safety Management Quality Management
"['Health and Safety Management', 'Regulatory Compliance']","How confident are you in applying the correct procedures for reporting shortages, incidents, accidents, and issues with delivering cleaning services?",md07wz9kaKeIbOPOvpUB,You encounter an accident while performing your cleaning tasks.,"reporting_shortages,_incidents,_accidents,_and_issues_with_delivering_cleaning_services",uiF1GkJbIEBX3ayaktKe,Health and Safety Management Regulatory Compliance
"['Health and Safety Management', 'Quality Management']",How would you rate your ability to enforce safe systems of work and apply control measures?,md07wz9kaKeIbOPOvpUB,An incident occurred due to non-compliance with safe systems of work.,comply_with_risk_assessments,vBNX758iR719R5bvHaPZ,Health and Safety Management Quality Management
"['Project Management', 'Leadership and Team Management']",How would you rate your ability to support the project team constructively?,md07wz9kaKeIbOPOvpUB,You are working with a project team to organise an event.,support_project_team,w2NOXtcx0kfMKB9kDlW6,Project Management Leadership and Team Management
"['Health and Safety Management', 'Technical Skills and Knowledge']",How confident are you in disassembling and reassembling healthcare service user equipment following the guidelines?,md07wz9kaKeIbOPOvpUB,You need to clean and reassemble a piece of healthcare equipment according to the manufacturer's instructions.,disassemble_and_reassemble_healthcare_service_user_equipment ,wIFzLouDxX1quVMfitNk,Health and Safety Management Technical Skills and Knowledge
"['Customer Service and Communication', 'Project Management']",How confident are you in drafting a well-structured proposal using appropriate terminology?,md07wz9kaKeIbOPOvpUB,You are preparing a proposal for a new facilities management initiative.,communicate_written,wOwSFkvtWkmTKb1P9AQA,Customer Service and Communication Project Management
"['Quality Management', 'Project Management']",How confident are you in applying continuous improvement techniques to enhance facilities management processes?,md07wz9kaKeIbOPOvpUB,You are implementing continuous improvement techniques in daily operations.,continuous_improvement,wzdZk5OnSsq3o6oNQ5Mi,Quality Management Project Management
"['Health and Safety Management', 'Quality Management']",How would you rate your ability to carry out health and safety checks according to SOPs?,md07wz9kaKeIbOPOvpUB,You need to perform a routine health and safety check on fire extinguishers.,health_safety_checks,x2BnMi6Otu4ghyfiz0Qb,Health and Safety Management Quality Management
"['Customer Service and Communication', 'Project Management']",How would you rate your ability to support reception services and event organisation?,md07wz9kaKeIbOPOvpUB,You are helping set up a room for a corporate meeting.,support_reception_services,xYkxhbKkqHazbQ96Wm1m,Customer Service and Communication Project Management
"['Customer Service and Communication', 'Quality Management']",How would you rate your ability to write clear and effective communications for internal stakeholders?,md07wz9kaKeIbOPOvpUB,An internal policy update requires clear written communication to all staff.,communicate_written,ywsvRaB0hasyruIPHN85,Customer Service and Communication Quality Management
"['Technology and Innovation', 'Building Management Systems (BMS)']",How confident are you in collecting FM-related information from various sources?,md07wz9kaKeIbOPOvpUB,You need to gather data from the Building Management System (BMS) for a report.,collect_fm_information,zDmhUaYCNZgiV3cywu75,Technology and Innovation Building Management Systems (BMS)
"['Health and Safety Management', 'Quality Management']",How confident are you in conducting thorough cleaning and disinfection tasks to prevent infection?,md07wz9kaKeIbOPOvpUB,You need to disinfect high-touch areas in a healthcare facility.,conduct_cleaning_and_disinfection_tasks,zNcEVrdWIoxC2wgkKKif,Health and Safety Management Quality Management
"['Health and Safety Management', 'Business Continuity and Disaster Recovery']",How would you rate your ability to implement site emergency and evacuation procedures?,md07wz9kaKeIbOPOvpUB,An emergency evacuation drill is scheduled.,implement_emergency_procedures,zWgKj60LWaNKelrzMUtn,Health and Safety Management Business Continuity and Disaster Recovery
"['Leadership and Team Management', 'Space Planning and Management']",How confident are you in restructuring your team to enhance efficiency and productivity?,md07wz9kaKeIbOPOvpUB,You need to implement a new team structure to improve efficiency.,leading_team,zXSdNYpVfN9wicj7fGEi,Leadership and Team Management Space Planning and Management
"['Maintenance and Operations', 'Quality Management']",How confident are you in confirming the correct functioning of FM equipment?,md07wz9kaKeIbOPOvpUB,You need to ensure the proper functioning of the facility's vending machines.,confirm_equipment_function,zgf54wctYzlmo0NRRoSl,Maintenance and Operations Quality Management
"['Health and Safety Management', 'Site Management and Coordination']",How confident are you in safely preparing an area for commercial cleaning?,md07wz9kaKeIbOPOvpUB,You need to prepare a high-traffic commercial area for cleaning.,safely_prepare_an_area_for_commercial_cleaning,zt7B79M3Fwsif30DcZWJ,Health and Safety Management Site Management and Coordination
"['Business Development', 'Networking and Relationship Building']",How confident are you in identifying and converting these leads into new clients and placements?,oKMaYbMZb4qwv20nrCaT,You receive a list of potential leads from a networking event.,identify_progress_convert_sales_leads,0Up4eaH0GRqdbYMjQ93j,Business Development Networking and Relationship Building
"['Data Management and Compliance', 'Time Management']",How confident are you in managing and ensuring the completion of all required compliance checks promptly?,oKMaYbMZb4qwv20nrCaT,You need to ensure all compliance checks are completed before a candidate starts.,pre-employment_and_compliance_checks,0XOu7eqN5JqMXvF9e4ar,Data Management and Compliance Time Management
"['Networking and Relationship Building', 'Communication Skills']",Rate your ability to initiate and develop strong relationships with candidates.,oKMaYbMZb4qwv20nrCaT,You need to build rapport with a new candidate.,manage_and_develop_candidate_relationships,19BiEdDQ3aEqBOySLCw6,Networking and Relationship Building Communication Skills
"['Candidate Sourcing', 'Recruitment Metrics and KPIs']",How confident are you in meeting the KPI for sourcing candidates within the deadline?,oKMaYbMZb4qwv20nrCaT,You need to source a specific number of candidates within a set timeframe.,meet_agreed_KPIs,1XOlQO7LOiU2Zy5FzQBn,Candidate Sourcing Recruitment Metrics and KPIs
"['Technology and Recruitment Tools', 'Data Management and Compliance']",How confident are you in utilising the recruitment database to extract and analyse specific data?,oKMaYbMZb4qwv20nrCaT,You need to extract specific data from the recruitment database for analysis.,accurately_record_candidate_and_client_information,29nlos34SbzX6IK1SXjL,Technology and Recruitment Tools Data Management and Compliance
"['Candidate Sourcing', 'Networking and Relationship Building']",How would you rate your ability to follow up on and secure new candidate leads?,oKMaYbMZb4qwv20nrCaT,You receive a tip about a potential candidate who might be a good fit for a client.,identify_new_candidate_and_client_opportunities,2DfHRktGHtIj0B8frJCB,Candidate Sourcing Networking and Relationship Building
"['Candidate Screening and Selection', 'Communication Skills']",How would you rate your ability to reassess and present candidates that align with job requirements?,oKMaYbMZb4qwv20nrCaT,You receive feedback that candidates presented do not meet the job requirements.,shortlist_and_present_candidates,3CGIcManFc9wCjox2hfl,Candidate Screening and Selection Communication Skills
"['Communication Skills', 'Client Relationship Management']",How confident are you in managing ongoing communication and relationships with candidates?,oKMaYbMZb4qwv20nrCaT,A candidate needs regular updates on their application status.,manage_and_develop_candidate_relationships,3nkMuTcgf4bjvZ6SPHtn,Communication Skills Client Relationship Management
"['Legal and Ethical Considerations', 'Client Relationship Management']",Assess your competency in managing and escalating non-compliance issues reported by candidates.,oKMaYbMZb4qwv20nrCaT,A candidate reports a non-compliance issue during the recruitment process.,escalate_non-compliance,3nnIAMXVHh0y6N8CJdE8,Legal and Ethical Considerations Client Relationship Management
"['Technology and Recruitment Tools', 'Candidate Screening and Selection']",Assess your competency in utilising technology tools for efficient candidate shortlisting.,oKMaYbMZb4qwv20nrCaT,You are using a new software tool for candidate shortlisting.,shortlist_and_present_candidates,4MmaX2VV8tm5ImfvjbpW,Technology and Recruitment Tools Candidate Screening and Selection
"['Legal and Ethical Considerations', 'Communication Skills']",How confident are you in addressing and escalating procedural non-compliance within the team?,oKMaYbMZb4qwv20nrCaT,A colleague is not following company procedures for candidate screening.,escalate_non-compliance,4tcfTQRXjdGcYO5NB2xa,Legal and Ethical Considerations Communication Skills
"['Legal and Ethical Considerations', 'Client Relationship Management']","How confident are you in advising clients on the legal, regulatory, and ethical requirements of the recruitment process?",oKMaYbMZb4qwv20nrCaT,A client is unsure about the legal requirements for hiring a non-UK resident.,advise_legal_regulatory_ethical,7hjuqgBPcj5zvBj1JbcN,Legal and Ethical Considerations Client Relationship Management
"['Business Development', 'Problem-Solving and Decision-Making']",How confident are you in assessing and suggesting improvements for the recruitment resourcing plan?,oKMaYbMZb4qwv20nrCaT,You need to identify key areas of improvement in the current resourcing plan.,contribute_to_recruitment_resourcing_plan,A084pAHF2fmCdKEn0mae,Business Development Problem-Solving and Decision-Making
"['Communication Skills', 'Client Relationship Management']",Rate your ability to provide first-line support and answer candidate enquiries effectively.,oKMaYbMZb4qwv20nrCaT,A candidate calls with questions about the application process.,provide_first_line_support_for_enquiries,AHamvYuJXz6d9JpmfSYl,Communication Skills Client Relationship Management
